title,category,level,provider,duration,price,rating,students,description
AI 강의 1,인공지능,초급,AI 교육 플랫폼 2,15시간,51000,4.1,105,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 1)
AI 강의 2,인공지능,초급,AI 교육 플랫폼 3,20시간,52000,4.2,110,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 2)
AI 강의 3,인공지능,초급,AI 교육 플랫폼 4,25시간,53000,4.3,115,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 3)
AI 강의 4,인공지능,초급,AI 교육 플랫폼 5,30시간,0,4.4,120,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 4)
AI 강의 5,인공지능,초급,AI 교육 플랫폼 1,10시간,55000,4.5,125,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 5)
AI 강의 6,인공지능,초급,AI 교육 플랫폼 2,15시간,56000,4.6,130,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 6)
AI 강의 7,인공지능,초급,AI 교육 플랫폼 3,20시간,57000,4.7,135,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 7)
AI 강의 8,인공지능,초급,AI 교육 플랫폼 4,25시간,0,4.8,140,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 8)
AI 강의 9,인공지능,초급,AI 교육 플랫폼 5,30시간,59000,4.9,145,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 9)
AI 강의 10,인공지능,초급,AI 교육 플랫폼 1,10시간,50000,4.0,150,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 10)
AI 강의 11,인공지능,초급,AI 교육 플랫폼 2,15시간,51000,4.1,155,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 11)
AI 강의 12,인공지능,초급,AI 교육 플랫폼 3,20시간,0,4.2,160,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 12)
AI 강의 13,인공지능,초급,AI 교육 플랫폼 4,25시간,53000,4.3,165,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 13)
AI 강의 14,인공지능,초급,AI 교육 플랫폼 5,30시간,54000,4.4,170,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 14)
AI 강의 15,인공지능,초급,AI 교육 플랫폼 1,10시간,55000,4.5,175,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 15)
AI 강의 16,인공지능,초급,AI 교육 플랫폼 2,15시간,0,4.6,180,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 16)
AI 강의 17,인공지능,초급,AI 교육 플랫폼 3,20시간,57000,4.7,185,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 17)
AI 강의 18,인공지능,초급,AI 교육 플랫폼 4,25시간,58000,4.8,190,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 18)
AI 강의 19,인공지능,초급,AI 교육 플랫폼 5,30시간,59000,4.9,195,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 19)
AI 강의 20,인공지능,초급,AI 교육 플랫폼 1,10시간,0,4.0,200,이 강의는 AI 기술에 대한 이해와 실습을 제공합니다. (샘플 20)
